epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3555,1.09354,3.5643,1.05853,0.00425,0.62773,0.15743,0.12228,0.75337,4.019,0.84077,0.0002,0.0002,0.0002
2,53.1516,0.89616,1.90164,0.99856,0.0045,0.62424,0.28664,0.19707,0.82833,3.86649,0.8479,0.000408416,0.000408416,0.000408416
3,70.3563,0.87526,1.63462,0.98382,0.00324,0.56229,0.40792,0.22754,0.89326,3.90272,0.90748,0.000612625,0.000612625,0.000612625
4,88.0271,0.84201,1.5025,0.97188,1,0.11102,0.47742,0.35755,0.87247,3.63644,0.94453,0.000812626,0.000812626,0.000812626
5,108.449,0.87017,1.40359,0.99165,0.93567,0.19133,0.43206,0.32168,0.87987,3.24201,0.96443,0.00100842,0.00100842,0.00100842
6,129.849,0.82937,1.38538,0.95549,0.77321,0.42728,0.56069,0.37969,0.85658,2.69549,1.00087,0.00118812,0.00118812,0.00118812
7,152.578,0.79958,1.31066,0.97953,0.57408,0.53811,0.60315,0.41093,0.89248,2.14455,1.10564,0.00117575,0.00117575,0.00117575
8,174.605,0.83212,1.31974,0.98391,0.60787,0.60002,0.60801,0.41694,0.93177,1.87626,1.08101,0.00116337,0.00116337,0.00116337
9,199.826,0.78715,1.18966,0.9797,0.82229,0.63893,0.67142,0.48756,0.86146,1.67078,1.00792,0.001151,0.001151,0.001151
10,222.854,0.7947,1.25876,0.9848,0.77,0.62376,0.62843,0.44474,0.83696,1.36878,0.95294,0.00113863,0.00113863,0.00113863
11,244.532,0.7786,1.10305,0.96659,0.75616,0.61089,0.60893,0.4686,0.78091,1.36007,0.94045,0.00112625,0.00112625,0.00112625
12,266.447,0.75878,1.04093,0.95513,0.68562,0.68935,0.61636,0.45429,0.76755,1.36273,0.9484,0.00111388,0.00111388,0.00111388
13,288.166,0.76993,1.07642,0.9621,0.8687,0.65137,0.69648,0.49856,0.78443,1.28386,0.93774,0.0011015,0.0011015,0.0011015
14,307.728,0.76247,0.99504,0.95065,0.72587,0.65198,0.65528,0.49938,0.80238,1.24934,0.95832,0.00108913,0.00108913,0.00108913
15,328.844,0.73428,0.95064,0.94137,0.78098,0.65023,0.68062,0.48997,0.74312,1.23521,0.9191,0.00107675,0.00107675,0.00107675
16,350.253,0.70559,0.8768,0.93165,0.80785,0.68013,0.68691,0.5393,0.70582,1.03414,0.89295,0.00106437,0.00106437,0.00106437
17,372.404,0.66438,0.86709,0.93106,0.87193,0.651,0.69953,0.57853,0.66493,0.99502,0.86633,0.001052,0.001052,0.001052
18,395.244,0.67889,0.89816,0.93204,0.86211,0.69129,0.69099,0.54254,0.66105,0.94513,0.86272,0.00103962,0.00103962,0.00103962
19,418.347,0.69634,0.8582,0.93211,0.85658,0.6867,0.7152,0.52636,0.72108,0.9767,0.89654,0.00102725,0.00102725,0.00102725
20,449.065,0.71914,0.91073,0.94451,0.87841,0.54518,0.61702,0.48462,0.63137,1.00144,0.85875,0.00101488,0.00101488,0.00101488
21,476.371,0.65934,0.83343,0.91489,0.91789,0.68677,0.71766,0.59758,0.60655,0.92081,0.85254,0.0010025,0.0010025,0.0010025
22,506.135,0.67521,0.79444,0.92726,0.90857,0.67631,0.71285,0.58195,0.62684,0.92721,0.87173,0.000990125,0.000990125,0.000990125
23,534.847,0.69399,0.79316,0.9407,0.94232,0.63893,0.72466,0.59529,0.66014,0.90172,0.8638,0.00097775,0.00097775,0.00097775
24,569.259,0.66761,0.74703,0.91513,0.86545,0.6393,0.70375,0.57775,0.68088,0.87666,0.86779,0.000965375,0.000965375,0.000965375
25,605.21,0.66652,0.83009,0.9228,0.868,0.60281,0.63232,0.52469,0.63497,0.85934,0.85699,0.000953,0.000953,0.000953
26,639.21,0.64391,0.76446,0.92904,0.88606,0.64755,0.69267,0.5386,0.65444,0.84535,0.86889,0.000940625,0.000940625,0.000940625
27,674.906,0.64338,0.72682,0.91644,0.80991,0.68574,0.67986,0.53514,0.63787,0.81054,0.85455,0.00092825,0.00092825,0.00092825
28,710.731,0.62885,0.68746,0.90682,0.80737,0.67534,0.72068,0.60071,0.65189,0.8163,0.8546,0.000915875,0.000915875,0.000915875
29,748.345,0.61941,0.70278,0.90464,0.9097,0.54891,0.58561,0.50846,0.62089,0.80248,0.84756,0.0009035,0.0009035,0.0009035
30,784.802,0.61984,0.70108,0.91252,0.87274,0.71217,0.72762,0.62638,0.62268,0.77831,0.83736,0.000891125,0.000891125,0.000891125
31,821.425,0.64223,0.71752,0.90716,0.89857,0.59583,0.63132,0.53947,0.613,0.79071,0.84903,0.00087875,0.00087875,0.00087875
32,854.897,0.63598,0.6855,0.90239,0.93358,0.68959,0.7245,0.61436,0.59118,0.74421,0.84616,0.000866375,0.000866375,0.000866375
33,886.448,0.59853,0.66447,0.89959,0.78375,0.70708,0.71441,0.57239,0.60591,0.75096,0.83878,0.000854,0.000854,0.000854
34,918.559,0.61503,0.65758,0.90782,0.92073,0.68578,0.73271,0.56106,0.63719,0.75841,0.86354,0.000841625,0.000841625,0.000841625
